ticker,name,sector,market
MMM,3M,Industrials,S&P 500
AOS,A. O. Smith,Industrials,S&P 500
ABT,Abbott Laboratories,Health Care,S&P 500
ABBV,AbbVie,Health Care,S&P 500
ACN,Accenture,Information Technology,S&P 500
ADBE,Adobe Inc.,Information Technology,S&P 500
AMD,Advanced Micro Devices,Information Technology,S&P 500
AES,AES Corporation,Utilities,S&P 500
AFL,Aflac,Financials,S&P 500
A,Agilent Technologies,Health Care,S&P 500
APD,Air Products,Materials,S&P 500
ABNB,Airbnb,Consumer Discretionary,S&P 500
AKAM,Akamai Technologies,Information Technology,S&P 500
ALB,Albemarle Corporation,Materials,S&P 500
ARE,Alexandria Real Estate Equities,Real Estate,S&P 500
ALGN,Align Technology,Health Care,S&P 500
ALLE,Allegion,Industrials,S&P 500
LNT,Alliant Energy,Utilities,S&P 500
ALL,Allstate,Financials,S&P 500
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P 500
GOOG,Alphabet Inc. (Class C),Communication Services,S&P 500
MO,Altria,Consumer Staples,S&P 500
AMZN,Amazon,Consumer Discretionary,S&P 500
AMCR,Amcor,Materials,S&P 500
AEE,Ameren,Utilities,S&P 500
AEP,American Electric Power,Utilities,S&P 500
AXP,American Express,Financials,S&P 500
AIG,American International Group,Financials,S&P 500
AMT,American Tower,Real Estate,S&P 500
AWK,American Water Works,Utilities,S&P 500
AMP,Ameriprise Financial,Financials,S&P 500
AME,Ametek,Industrials,S&P 500
AMGN,Amgen,Health Care,S&P 500
APH,Amphenol,Information Technology,S&P 500
ADI,Analog Devices,Information Technology,S&P 500
AON,Aon plc,Financials,S&P 500
APA,APA Corporation,Energy,S&P 500
APO,Apollo Global Management,Financials,S&P 500
AAPL,Apple Inc.,Information Technology,S&P 500
AMAT,Applied Materials,Information Technology,S&P 500
APP,AppLovin,Information Technology,S&P 500
APTV,Aptiv,Consumer Discretionary,S&P 500
ACGL,Arch Capital Group,Financials,S&P 500
ADM,Archer Daniels Midland,Consumer Staples,S&P 500
ARES,Ares Management,Financials,S&P 500
ANET,Arista Networks,Information Technology,S&P 500
AJG,Arthur J. Gallagher & Co.,Financials,S&P 500
AIZ,Assurant,Financials,S&P 500
T,AT&T,Communication Services,S&P 500
ATO,Atmos Energy,Utilities,S&P 500
ADSK,Autodesk,Information Technology,S&P 500
ADP,Automatic Data Processing,Industrials,S&P 500
AZO,AutoZone,Consumer Discretionary,S&P 500
AVB,AvalonBay Communities,Real Estate,S&P 500
AVY,Avery Dennison,Materials,S&P 500
AXON,Axon Enterprise,Industrials,S&P 500
BKR,Baker Hughes,Energy,S&P 500
BALL,Ball Corporation,Materials,S&P 500
BAC,Bank of America,Financials,S&P 500
BAX,Baxter International,Health Care,S&P 500
BDX,Becton Dickinson,Health Care,S&P 500
BRK-B,Berkshire Hathaway,Financials,S&P 500
BBY,Best Buy,Consumer Discretionary,S&P 500
TECH,Bio-Techne,Health Care,S&P 500
BIIB,Biogen,Health Care,S&P 500
BLK,BlackRock,Financials,S&P 500
BX,Blackstone Inc.,Financials,S&P 500
XYZ,"Block, Inc.",Financials,S&P 500
BNY,BNY Mellon,Financials,S&P 500
BA,Boeing,Industrials,S&P 500
BKNG,Booking Holdings,Consumer Discretionary,S&P 500
BSX,Boston Scientific,Health Care,S&P 500
BMY,Bristol Myers Squibb,Health Care,S&P 500
AVGO,Broadcom,Information Technology,S&P 500
BR,Broadridge Financial Solutions,Industrials,S&P 500
BRO,Brown & Brown,Financials,S&P 500
BF-B,Brown–Forman,Consumer Staples,S&P 500
BLDR,Builders FirstSource,Industrials,S&P 500
BG,Bunge Global,Consumer Staples,S&P 500
BXP,"BXP, Inc.",Real Estate,S&P 500
CHRW,C.H. Robinson,Industrials,S&P 500
CDNS,Cadence Design Systems,Information Technology,S&P 500
CPT,Camden Property Trust,Real Estate,S&P 500
COF,Capital One,Financials,S&P 500
CAH,Cardinal Health,Health Care,S&P 500
