ticker,name,sector,industry,marketCap
A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,39918930965.0
AA,Alcoa Corporation Common Stock ,Industrials,Aluminum,12530420449.0
AADX,Applied Aerospace & Defense Inc. Common Stock,Industrials,Military/Government/Technical,3630007193.0
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,10611378315.0
AAMI,Acadian Asset Management Inc. Common Stock,Finance,Investment Managers,3262190141.0
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,9967756517.0
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,7394989179.0
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,3497482345.0
AAPG,Ascentage Pharma Group International American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1595019065.0
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,4559367773800.0
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,1382822877.0
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,430946892293.0
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,6021121012.0
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,1924165924.0
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,3877434553.0
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services,2844103812.0
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services,91394174524.0
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1294011965.0
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,186812180636.0
ACA,Arcosa Inc. Common Stock ,Industrials,Metal Fabrications,7113572180.0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,4871660502.0
ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers,33880639921.0
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities,2860040448.0
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace,3972697587.0
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains,5862734251.0
ACIW,ACI Worldwide Inc. Common Stock,Technology,Computer Software: Prepackaged Software,5613751895.0
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components,4200094364.0
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical,9630222396.0
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,5230440391.0
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services,114217672033.0
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers,6794368259.0
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,Business Services,1300657460.0
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,103445400000.0
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts,9496360319.0
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,183782811062.0
ADIG,ADI Global Distribution Inc. Common Stock,Industrials,Wholesale Distributors,1992256060.0
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Packaged Foods,37356687278.0
ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2337182287.0
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.,1478092345.0
ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services,110127259998.0
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3766461871.0
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,51161170000.0
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,5588778247.0
ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services,2218133354.0
AEBI,Aebi Schmidt Holding AG Common Stock ,Industrials,Auto Manufacturing,1003360035.0
AEE,Ameren Corporation Common Stock,Utilities,Power Generation,29973818786.0
AEG,Aegon Ltd. New York Registry Shares,Finance,Life Insurance,18058671825.0
AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products,3253563683.0
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components,12972738668.0
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals,85229642784.0
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,2969399461.0
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central,68191212312.0
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,27794750042.0
AES,The AES Corporation Common Stock,Industrials,Electric Utilities: Central,10487547861.0
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),1382704815.0
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,1592411138.0
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers,12191220959.0
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers,1709504466.0
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers,1482255721.0
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers,1626825505.0
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers,1341840240.0
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance,64468027941.0
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services,25646532108.0
AFYA,Afya Limited Class A Common Shares,Real Estate,Other Consumer Services,1272105986.0
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Materials,Precious Metals,8517422298.0
AGBK,AGI Inc Class A Common Shares,Finance,Commercial Banks,1017155245.0
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components,7117324618.0
AGI,Alamos Gold Inc. Class A Common Shares,Basic Materials,Precious Metals,13060924282.0
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1907475130.0
AGL,agilon health inc. Common Stock,Health Care,Misc Health and Biotechnology Services,1448653138.0
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies,2571342513.0
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts,12577958153.0
AGO,Assured Guaranty Ltd. Common Stock,Finance,Property-Casualty Insurers,3656403052.0
AGRO,Adecoagro S.A. Common Shares,Consumer Staples,Farming/Seeds/Milling,1350727242.0
AGX,Argan Inc. Common Stock,Consumer Discretionary,Engineering & Construction,8283552475.0
AGYS,Agilysys Inc. Common Stock (DE),Technology,EDP Services,3034378673.0
AHG,Akso Health Group ADS,Consumer Discretionary,Business Services,1130849514.0
AHR,American Healthcare REIT Inc. Common Stock,Real Estate,Real Estate Investment Trusts,10543837471.0
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,1532729871.0
AIG,American International Group Inc. New Common Stock,Finance,Property-Casualty Insurers,42400591493.0
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles,1740068000.0
AIP,Arteris Inc. Common Stock,Technology,Semiconductors,1459958071.0
AIR,AAR Corp. Common Stock,Industrials,Aerospace,5893894176.0
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,Industrial Specialties,13265148860.0
AIZ,Assurant Inc. Common Stock,Finance,Property-Casualty Insurers,14685919607.0
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers,64672006000.0
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services,17235445216.0
AKR,Acadia Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,2844160673.0
AKTS,Aktis Oncology Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations,1295703358.0
ALAB,Astera Labs Inc. Common Stock,Technology,Semiconductors,56821731779.0
ALB,Albemarle Corporation Common Stock,Industrials,Major Chemicals,14791363928.0
ALC,Alcon Inc. Ordinary Shares,Health Care,Ophthalmic Goods,34749138000.0
ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components,2022449254.0
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,7913698863.0
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties,12109192913.0
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services,1791459283.0
ALH,Alliance Laundry Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components,5469682276.0
ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities,2775482294.0
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,5657162153.0
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,8114709467.0
ALKT,Alkami Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software,2105687586.0
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers,70819072052.0
