sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Energy,2026-04-30,74.59518432617188,63.8400495743808,33.333333333333336,USD,0.38949990488210484,0,INSW,0.38949990488210484,46.61486185243267
Energy,2026-05-31,23.38227653503418,14.561047609849394,33.333333333333336,CAD,0.25065749401238113,0,PXT.TO,0.23726191766782523,41.23359100093733
Basic Materials,2026-06-30,46.0099983215332,40.28175531923221,33.333333333333336,USD,0.13649212830018786,0,CENX,-0.04259941656105981,31.396831508917607
Technology,2026-07-31,6180.0,165.5446342608384,33.333333333333336,TWD,0.12783171521035608,0,7769.TW,0.020226537216828433,34.60575717251717
Technology,2026-07-31,823.030029296875,714.2172019753722,33.333333333333336,USD,0.24876369384636798,0,MU,0.18496285074652996,39.204725258472095
Technology,2026-08-31,1566.699951171875,1351.8897901420003,33.333333333333336,USD,0.1260420622504852,0,SNDK,0.04254166495901712,34.68855958508007
Industrials,2026-08-31,2270.0,61.94517208828995,33.333333333333336,TWD,0.0638766519823788,0,7750.TW,-0.13656387665198233,28.749280577712117
Consumer Defensive,2026-08-31,316.5,3.6927708774820895,33.333333333333336,GBp,0.03949447077409163,0,APN.L,-0.10497786535470977,29.872757739515524
Basic Materials,2026-08-31,12.34000015258789,7.6615981829248945,33.333333333333336,CAD,0.08022688483602236,0,DSV.TO,0.005672584599566433,33.616132526363245
Healthcare,2026-08-31,50.11000061035156,43.239420642397086,33.333333333333336,USD,0.015366203320392957,0,CDNA,0.0029933687757859317,33.37266644166854
Basic Materials,2026-09-30,31.3799991607666,19.537524013271007,33.333333333333336,CAD,0.0,0,CG.TO,0.0,33.333333333333336
Industrials,2026-09-30,810.0,22.079266799521474,33.333333333333336,TWD,0.0,0,3167.TW,0.0,33.333333333333336
Healthcare,2026-09-30,1190.0,32.43744134744513,33.333333333333336,TWD,0.0,0,6446.TW,0.0,33.333333333333336
Healthcare,2026-09-30,55.79999923706055,1.5210161365038943,33.333333333333336,TWD,0.0,0,3054.TW,0.0,33.333333333333336
Industrials,2026-09-30,4834.0,27.08897142105651,33.333333333333336,JPY,0.0,0,5803.T,0.0,33.333333333333336
