sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,exit_date,exit_price,exit_reason,return_pct,exit_value_eur
Basic Materials,2025-10-31,85.01654052734375,52.56045952658397,33.333333333333336,CAD,0.20314623475584592,0,LUG.TO,2025-11-20,92.8896026611328,trailing_stop,0.09260623973821724,36.3563726695728
Technology,2025-10-31,187.6199951171875,162.1261859542472,33.333333333333336,USD,0.0,0,CRDO,2025-11-11,158.5,stop_loss,-0.1552073119871853,28.196906038603164
Technology,2025-10-31,782.863037109375,676.4875899918096,33.333333333333336,USD,0.0,0,UI,2025-11-07,608.8327026367188,stop_loss,-0.22229984840674266,25.975537296148772
Industrials,2025-10-31,3511.732421875,19.717867259955025,33.333333333333336,JPY,0.01676905317943711,0,5803.T,2025-11-18,2965.149658203125,stop_loss,-0.15564476389691473,27.853346563724013
Industrials,2025-10-31,305.3259582519531,263.8382601667606,33.333333333333336,USD,0.1912738741265423,0,AGX,2025-11-13,334.1325378417969,trailing_stop,0.09434697185515017,36.41617885898141
Technology,2025-10-31,74.61000061035156,64.47199204671678,33.333333333333336,USD,0.0,0,INOD,2025-11-06,60.900001525878906,stop_loss,-0.18375551497543485,27.3873068195451
Communication Services,2025-10-31,637.3300170898438,550.729600010878,33.333333333333336,USD,0.021950935714993625,0,APP,2025-11-17,539.27001953125,stop_loss,-0.1538606293900172,28.10052740814403
Financial Services,2025-10-31,23.6299991607666,20.419154342501084,33.333333333333336,USD,0.31781635614066617,0,HRTG,2025-11-18,29.200000762939453,trailing_stop,0.23571738468026893,41.126231905029954
Energy,2025-10-31,17.309999465942383,14.957916348576886,33.333333333333336,USD,0.00231085596542302,0,FTK,2025-11-17,14.170000076293944,stop_loss,-0.18139800615398183,27.18600335054542
Technology,2025-11-30,177.60000610351562,153.105408974786,33.333333333333336,USD,0.06525898614629155,0,CRDO,2025-12-12,143.91000366210938,stop_loss,-0.18969595317338983,26.688989150711393
Industrials,2025-11-30,31.09000015258789,26.802066581088376,33.333333333333336,USD,0.07333543802208986,0,AMSC,2025-12-31,28.780000686645508,momentum_perdu,-0.07430040059842524,30.469371016117893
Communication Services,2025-11-30,599.47998046875,516.7996870921719,33.333333333333336,USD,0.2087476124733758,0,APP,2025-12-17,657.1300048828125,trailing_stop,0.09616672164595785,36.07351101792046
Healthcare,2025-11-30,2730.0,15.05941039335307,33.333333333333336,JPY,0.0,0,4506.T,2025-12-11,2311.0,stop_loss,-0.1534798534798535,28.062074984247932
Basic Materials,2025-10-31,2221.280029296875,25.26047663245113,33.333333333333336,GBp,0.6552654581928639,0,FRES.L,2026-01-08,3438.88525390625,trailing_stop,0.5481547614664308,52.30586297936509
Basic Materials,2025-10-31,5.860000133514404,3.6228750068264364,33.333333333333336,CAD,1.0085324555623991,0,DSV.TO,2026-01-30,9.579999923706056,trailing_stop,0.6348122364223676,54.603115876130516
Industrials,2025-10-31,835.1672973632812,23.486728095975707,33.333333333333336,TWD,0.33410682637573275,0,2404.TW,2026-01-21,978.560302734375,trailing_stop,0.1716937502507605,37.37731565400274
Communication Services,2025-10-31,208.9499969482422,180.55786665600846,33.333333333333336,USD,0.2391959629457152,0,RDDT,2026-01-15,228.75,trailing_stop,0.09475952783412755,36.260563633583246
Communication Services,2025-10-31,655.3200073242188,566.275109966955,33.333333333333336,USD,0.0,0,SPOT,2026-01-08,553.6799926757812,stop_loss,-0.15509981919131488,27.911731821158643
Technology,2025-11-30,145.53225708007812,4.006042075907752,33.333333333333336,TWD,0.6541095969406148,0,2408.TW,2026-01-09,216.80319213867188,trailing_stop,0.48972603386050295,49.05601316669043
Healthcare,2025-12-31,2318.0,12.619086336717752,33.333333333333336,JPY,0.255176876617774,0,4506.T,2026-01-19,2388.0,trailing_stop,0.030198446937014678,34.446274561848035
Financial Services,2025-10-31,50.01462173461914,53.920633980200584,33.333333333333336,CHF,0.0,0,SQN.SW,2026-02-05,41.52194213867188,stop_loss,-0.1698039353573435,27.983641106367344
Basic Materials,2026-01-31,9.579999923706056,5.934607914074431,33.333333333333336,CAD,0.15240084026870893,0,DSV.TO,2026-02-12,9.920000076293944,trailing_stop,0.035490621638372355,34.563244453330014
Healthcare,2026-01-31,2297.0,12.533693750670766,33.333333333333336,JPY,0.38615585546364817,0,4506.T,2026-02-20,2475.5,trailing_stop,0.07771005659555952,36.0529191153607
Healthcare,2026-01-31,148.7899932861328,124.34677275861856,33.333333333333336,USD,0.08374223587674878,0,NUTX,2026-02-04,125.0999984741211,stop_loss,-0.15921766167738394,28.38088201741435
Basic Materials,2025-11-30,105.00680541992188,64.54846809116826,33.333333333333336,CAD,0.10291495185946076,0,LUG.TO,2026-03-20,86.68353271484375,stop_loss,-0.17449604939226004,28.152607894846433
Industrials,2025-11-30,2977.5908203125,16.425187599475002,33.333333333333336,JPY,0.5835654545854074,0,5803.T,2026-03-06,4163.65087890625,trailing_stop,0.39832875978213567,46.2082210746372
Industrials,2025-12-31,312.4154357910156,265.9467631682802,33.333333333333336,USD,0.4807342885462462,0,AGX,2026-03-05,429.5482482910156,trailing_stop,0.37492645714968376,46.270748617538686
Healthcare,2025-12-31,97.42933654785156,10.660329589110821,33.333333333333336,HKD,0.28787867872364026,0,2359.HK,2026-03-04,107.1722640991211,trailing_stop,0.09999993735443713,36.98130749851635
Basic Materials,2026-01-31,3700.80029296875,42.701870372380135,33.333333333333336,GBp,0.1685575557123875,0,FRES.L,2026-03-03,3894.737548828125,trailing_stop,0.05240413978237135,34.860116226368866
Industrials,2026-01-31,20275.544921875,110.63451052622946,33.333333333333336,JPY,0.8988708206536142,0,5706.T,2026-03-04,32677.767578125,trailing_stop,0.611683814370356,53.74097814716215
Financial Services,2026-01-31,33.98326873779297,3.6387616623998005,33.333333333333336,HKD,0.018348635181416384,0,2628.HK,2026-03-04,28.13751983642578,stop_loss,-0.17201844079425177,28.44478740136798
Energy,2026-01-31,14845.3291015625,81.00427017279267,33.333333333333336,JPY,0.07533330171388997,0,6269.T,2026-03-04,12168.220703125,stop_loss,-0.180333381639598,27.3314687611191
Technology,2026-02-28,412.1334533691406,349.1759485309713,33.333333333333336,USD,0.11969835293243025,0,MU,2026-03-30,321.75048828125,stop_loss,-0.21930509243794927,26.727464714446693
Basic Materials,2026-02-28,11.270000457763672,6.982998316953185,33.333333333333336,CAD,0.0,0,DSV.TO,2026-03-12,9.520000457763672,stop_loss,-0.15527949679846387,28.95001591212722
Technology,2026-02-28,4798.9658203125,129.8996284289779,33.333333333333336,TWD,0.0,0,7769.TW,2026-03-04,3930.01708984375,stop_loss,-0.18106999778801625,27.368724130184468
Healthcare,2026-02-28,2524.0,13.721343183507198,33.333333333333336,JPY,0.0,0,4506.T,2026-03-03,1959.0,stop_loss,-0.223851030110935,25.875008594978002
Technology,2025-11-30,580.7240600585938,500.63058367771725,33.333333333333336,USD,0.8619872252940566,0,UI,2026-04-28,961.41552734375,trailing_stop,0.6555462283528348,54.60299071215341
Real Estate,2026-01-31,9.12329387664795,1.4706749493528946,33.333333333333336,BRL,0.5079994526715037,0,JHSF3.SA,2026-04-27,12.58476448059082,trailing_stop,0.37941018350870803,48.975336560164244
Basic Materials,2026-03-31,8.9399995803833,5.602591677126899,33.333333333333336,CAD,0.2214765759335473,0,DSV.TO,2026-04-21,9.729999542236328,trailing_stop,0.08836689026098998,36.00676127750617
Industrials,2026-03-31,4090.0,22.334714784392727,33.333333333333336,JPY,0.4511002444987775,0,5803.T,2026-04-15,5683.0,trailing_stop,0.3894865525672371,45.27002273664752
Healthcare,2026-03-31,2075.5,11.333912111248681,33.333333333333336,JPY,0.07540351722476513,0,4506.T,2026-04-30,1719.5,stop_loss,-0.17152493375090339,27.016991471104642
Financial Services,2026-01-31,26.06999969482422,21.787220069534676,33.333333333333336,USD,0.16340622473147115,0,HRTG,2026-05-04,28.43000030517578,trailing_stop,0.09052553271874819,37.09203159130354
Technology,2026-03-31,635.3400268554688,554.397742805108,33.333333333333336,USD,1.2192525590544943,0,SNDK,2026-05-07,1339.9599609375,trailing_stop,1.1090438258226136,68.58138109487349
Technology,2026-03-31,3460.982421875,94.31147004873392,33.333333333333336,TWD,1.1569186743061461,0,7769.TW,2026-05-15,6808.4091796875,trailing_stop,0.9671897599523256,65.36889414714364
Industrials,2026-03-31,543.76171875,474.4865060538743,33.333333333333336,USD,0.36144751280504006,0,AGX,2026-05-18,664.2154541015625,trailing_stop,0.22151933686773995,40.176030591815646
Industrials,2026-03-31,28040.0,153.1211253189174,33.333333333333336,JPY,0.9579172610556348,0,5706.T,2026-05-14,50660.0,trailing_stop,0.8067047075606277,59.63503330105639
Energy,2026-03-31,65.53944396972656,57.18972245673412,33.333333333333336,USD,0.2571350111624786,0,INSW,2026-05-28,69.0736083984375,trailing_stop,0.053924235767752515,34.65332446685357
Healthcare,2026-03-31,25.690000534057617,22.41709589624759,33.333333333333336,USD,0.1669910050212493,0,NNNN,2026-05-06,26.600000381469727,trailing_stop,0.035422336648288866,33.7605904208166
Energy,2026-03-31,98.04000091552734,85.54971025703013,33.333333333333336,USD,0.15687471552218368,0,VAL,2026-05-21,101.4800033569336,trailing_stop,0.03508774387273017,34.012226064210296
Technology,2026-04-30,517.0804443359375,442.52777841541337,33.333333333333336,USD,0.5539292144828885,0,MU,2026-05-18,681.4351806640625,trailing_stop,0.31785138681699365,44.194266463975175
Basic Materials,2026-04-30,8.380000114440918,5.246944418610657,33.333333333333336,CAD,0.2541766211638081,0,DSV.TO,2026-05-19,8.5600004196167,trailing_stop,0.021479749727639552,33.96511200414965
Industrials,2026-04-30,5971.0,31.89943360973526,33.333333333333336,JPY,0.31552503768213036,0,5803.T,2026-05-14,6355.0,trailing_stop,0.0643108357059119,35.909054960406564
Basic Materials,2026-03-31,43.58370590209961,27.31339143250614,33.333333333333336,CAD,0.07683536937230118,0,OGC.TO,2026-06-05,35.73284149169922,stop_loss,-0.18013301640836787,27.01217239055568
Basic Materials,2026-03-31,3302.92919921875,37.977798594969755,33.333333333333336,GBp,0.14552815409026,0,FRES.L,2026-06-24,2772.70556640625,stop_loss,-0.16053133471281045,28.230937644660113
Healthcare,2026-04-30,65.19512176513672,1.7651668910843967,33.333333333333336,TWD,0.2696970423937026,0,3054.TW,2026-06-09,69.64024353027344,trailing_stop,0.06818181552218161,36.120441705686325
Healthcare,2026-04-30,1719.5,9.186246205315657,33.333333333333336,JPY,0.008432683919744166,0,4506.T,2026-06-03,1458.5,stop_loss,-0.151788310555394,28.46732705623994
Energy,2026-04-30,34.96672058105469,29.925218303466995,33.333333333333336,USD,0.22630891189001123,0,FRO,2026-06-26,35.52000045776367,trailing_stop,0.01582304166690296,34.82339404985306
Utilities,2026-04-30,24.309999465942383,24.309999465942383,33.333333333333336,EUR,0.025503942939283153,0,SLR.MC,2026-06-30,19.905000686645508,stop_loss,-0.18120110555609648,27.293296481463454
Technology,2026-05-31,1694.97998046875,1454.5640998990395,33.333333333333336,USD,0.34144946056527803,0,SNDK,2026-06-23,1963.5999755859373,trailing_stop,0.15847974501911222,39.37871342516255
Technology,2026-05-31,8156.2666015625,222.72442061207548,33.333333333333336,TWD,0.0,0,7769.TW,2026-06-09,6857.78125,stop_loss,-0.15920094511301885,28.189951859752206
Technology,2026-05-31,970.8507080078124,833.1452893261854,33.333333333333336,USD,0.24755919277363403,0,MU,2026-06-23,1051.6082763671875,trailing_stop,0.08318227271532797,36.819223199944226
Industrials,2026-05-31,2390.0,65.26409585004066,33.333333333333336,TWD,0.0,0,7750.TW,2026-06-26,2005.0,stop_loss,-0.16108786610878656,28.289789319783154
Industrials,2026-05-31,4771.0,25.70775833122029,33.333333333333336,JPY,0.35967302452316074,0,5803.T,2026-06-29,5885.0,trailing_stop,0.23349402640955774,41.42809373365981
Industrials,2026-05-31,791.15771484375,21.604264825967213,33.333333333333336,TWD,0.19496860440501118,0,3167.TW,2026-06-08,860.8193969726562,trailing_stop,0.08805031009861808,36.50123329112127
Basic Materials,2026-05-31,8.59000015258789,5.349325203772892,33.333333333333336,CAD,0.04074498504985091,0,DSV.TO,2026-06-10,7.239999771118164,stop_loss,-0.1571595293933743,28.0323621380147
Energy,2026-05-31,92.62999725341795,79.49136280730986,33.333333333333336,USD,0.00917635894115576,0,VAL,2026-06-18,78.55999755859375,stop_loss,-0.1518946357769112,28.627605485655675
Energy,2026-05-31,69.41534423828125,59.56947508206814,33.333333333333336,USD,0.2336850578694647,0,INSW,2026-06-26,75.67205810546875,trailing_stop,0.09013444989497055,37.268956626962684
Healthcare,2026-05-31,34.40999984741211,29.52928709030252,33.333333333333336,USD,0.0,0,NNNN,2026-06-03,28.51000022888184,stop_loss,-0.1714617740393275,27.690993281932847
Consumer Cyclical,2026-05-31,5047.197265625,137.82458833381304,33.333333333333336,TWD,0.4906219223617687,0,2059.TW,2026-06-26,6965.43115234375,trailing_stop,0.380059226094309,46.538347912480816
