sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Utilities,2025-10-31,29.75311851501465,29.75311851501465,16.666666666666668,EUR,0.42741343900710826,0,ELE.MC,0.39615620105719507,23.26927001761992
Financial Services,2026-05-31,1464.0,16.897311564405708,16.666666666666668,GBp,0.06693989071038242,0,FEML.L,-0.01912568306010931,16.547295441526156
Real Estate,2026-05-31,11.01688289642334,1.8728701281141305,16.666666666666668,BRL,0.10376047033774727,0,JHSF3.SA,0.10376047033774727,18.276975221814357
Energy,2026-06-30,72.5999984741211,63.561301486561874,16.666666666666668,USD,0.27438014583493375,0,VAL,0.15330585560246113,18.910657802470357
Basic Materials,2026-06-30,46.0099983215332,40.28175531923221,16.666666666666668,USD,0.13649212830018786,0,CENX,-0.04259941656105981,15.698415754458804
Communication Services,2026-06-30,357.14044189453125,312.67647076320475,16.666666666666668,USD,0.05674789353433862,0,GOOGL,-0.052193590274035806,15.541100905928213
Financial Services,2026-06-30,26.65999984741211,2.9778492190812194,16.666666666666668,HKD,0.1590397522650302,0,2628.HK,0.11777942264141594,18.425334120882784
Real Estate,2026-06-30,53.09000015258789,46.48029719756969,16.666666666666668,USD,0.1310981176204309,0,CBL,0.030890928328025202,16.90343067502993
Financial Services,2026-06-30,2.4200000762939453,2.118710160877649,16.666666666666668,USD,0.07851231934374603,0,RTW.L,-0.04302479868408715,15.781982989689471
Consumer Defensive,2026-07-31,323.5,3.7791174262089435,16.666666666666668,GBp,0.08346213292117466,0,APN.L,-0.12434465033930642,14.595107450950838
Healthcare,2026-07-31,48.45000076293945,1.2978378084527755,16.666666666666668,TWD,0.205366369582195,0,3054.TW,0.15170275249496545,19.53269412913239
Technology,2026-07-31,823.030029296875,714.2172019753722,16.666666666666668,USD,0.24876369384636798,0,MU,0.18496285074652996,19.602362629236048
Technology,2026-07-31,6180.0,165.5446342608384,16.666666666666668,TWD,0.12783171521035608,0,7769.TW,0.020226537216828433,17.302878586258586
Utilities,2026-07-31,16.81999969482422,16.81999969482422,16.666666666666668,EUR,0.09453033183330906,0,SLR.MC,0.019916825083199807,16.998613751386664
Consumer Defensive,2026-07-31,48.189998626708984,41.818797318694386,16.666666666666668,USD,0.015148361963881252,0,MNST,-0.09939815806874197,14.898293122837076
Energy,2026-07-31,91.53739929199219,79.43523671217923,16.666666666666668,USD,0.13232408095022574,0,INSW,0.13232408095022574,18.731580685942244
Healthcare,2026-08-31,50.11000061035156,43.239420642397086,16.666666666666668,USD,0.015366203320392957,0,CDNA,0.0029933687757859317,16.68633322083427
Industrials,2026-08-31,2270.0,61.94517208828995,16.666666666666668,TWD,0.0638766519823788,0,7750.TW,-0.13656387665198233,14.374640288856058
Healthcare,2026-08-31,1395.0,38.06762778112973,16.666666666666668,TWD,0.007168458781362075,0,6446.TW,-0.1469534050179212,14.201673547029065
Technology,2026-08-31,1566.699951171875,1351.8897901420003,16.666666666666668,USD,0.1260420622504852,0,SNDK,0.04254166495901712,17.344279792540036
Basic Materials,2026-08-31,12.34000015258789,7.6615981829248945,16.666666666666668,CAD,0.08022688483602214,0,DSV.TO,0.005672584599566433,16.808066263181622
Real Estate,2026-08-31,21.93000030517578,18.923178933019365,16.666666666666668,USD,0.014135862363358953,0,HST,0.014135862363358953,16.871705693575723
Communication Services,2026-08-31,77.69000244140625,67.03792964191013,16.666666666666668,USD,0.019307503576554863,0,MSGE,0.019307503576554863,16.957743878142505
Consumer Cyclical,2026-08-31,8349.0,44.9942588661277,16.666666666666668,JPY,0.0004790992933285665,0,5334.T,-0.14229249011857703,14.864530267444962
Healthcare,2026-08-31,68.16999816894531,58.823212734297066,16.666666666666668,USD,0.022150538019499955,0,LQDA,-0.020976974381484048,16.287549793354433
Technology,2026-08-31,294.5,8.036499198238499,16.666666666666668,TWD,0.00679117147707986,0,2451.TW,-0.0696095076400679,15.489308698351913
Energy,2026-08-31,43.779998779296875,37.77732508250248,16.666666666666668,USD,0.12402924752349631,0,FRO,0.12402924752349631,18.699950725530126
Industrials,2026-09-30,810.0,22.079266799521474,16.666666666666668,TWD,0.0,0,3167.TW,0.0,16.666666666666668
Industrials,2026-09-30,4834.0,27.08897142105651,16.666666666666668,JPY,0.0,0,5803.T,0.0,16.666666666666668
Basic Materials,2026-09-30,31.3799991607666,19.537524013271007,16.666666666666668,CAD,0.0,0,CG.TO,0.0,16.666666666666668
Utilities,2026-09-30,57.63999938964844,57.63999938964844,16.666666666666668,EUR,0.0,0,RWE.DE,0.0,16.666666666666668
Consumer Defensive,2026-09-30,52.0099983215332,44.797770315101936,16.666666666666668,USD,0.0,0,COCO,0.0,16.666666666666668
Industrials,2026-09-30,22825.0,127.90768983980448,16.666666666666668,JPY,0.0,0,5706.T,0.0,16.666666666666668
Energy,2026-09-30,13.510000228881836,8.411471030919794,16.666666666666668,CAD,0.0,0,HWX.TO,0.0,16.666666666666668
Financial Services,2026-09-30,47.5,1.2947718184904569,16.666666666666668,TWD,0.0,0,2851.TW,0.0,16.666666666666668
Basic Materials,2026-09-30,60.369998931884766,37.58700877492406,16.666666666666668,CAD,0.0,0,DPM.TO,0.0,16.666666666666668
Real Estate,2026-09-30,43.70000076293945,1.191190093807694,16.666666666666668,TWD,0.0,0,2527.TW,0.0,16.666666666666668
Utilities,2026-09-30,65.9000015258789,7.2801193287400165,16.666666666666668,HKD,0.0,0,1038.HK,0.0,16.666666666666668
