sector,entry_date,entry_price,entry_valuation_gap,peak,ticker,exit_date,exit_price,exit_reason,return_pct
Industrials,2026-08-21 02:19:35,204.8000030517578,0.6001163771970808,0.0,AIR.PA,2026-09-02 11:02:59,194.0800018310547,momentum_perdu,-0.05234375518048173
Financial Services,2026-08-21 03:38:40,116.16999816894533,0.2739522665191809,0.0046053513862613915,AFL,2026-09-02 14:07:13,116.70500183105467,momentum_perdu,0.0046053513862613915
Technology,2026-08-21 02:19:35,20.450000762939453,0.2868604217898416,0.02995106181954532,DAKT,2026-09-02 14:51:29,21.0625,momentum_perdu,0.02995106181954532
Consumer Cyclical,2026-08-21 02:19:35,70.58499908447266,0.5412037074808713,0.031238958130690664,GRBK,2026-09-02 16:04:24,71.11499786376953,momentum_perdu,0.007508660284355928
Consumer Cyclical,2026-09-02 14:07:13,102.3000030517578,0.2801720655777426,0.0,LCII,2026-09-02 16:04:24,102.3000030517578,momentum_perdu,0.0
Financial Services,2026-08-21 02:19:35,313.6449890136719,0.3734929404418083,0.0,PRI,2026-09-02 18:04:45,294.0899963378906,momentum_perdu,-0.062347537377454576
Basic Materials,2026-08-22 03:27:39,80.0,0.7320916274184419,0.02624998092651376,2006.TW,2026-09-02 19:56:50,80.69999694824219,momentum_perdu,0.008749961853027344
Real Estate,2026-08-21 02:19:35,3231.0,0.5334470943191407,0.035902197462086116,1878.T,2026-09-03 00:44:33,3319.0,momentum_perdu,0.027236149798823828
Consumer Cyclical,2026-08-21 02:19:35,17.81999969482422,0.2610647254536318,0.053310930370856324,0175.HK,2026-09-03 02:00:52,17.299999237060547,momentum_perdu,-0.029180722035292983
Industrials,2026-09-03 01:05:53,39.27000045776367,0.4957566891337679,0.0,GIC,2026-09-03 02:00:52,39.27000045776367,momentum_perdu,0.0
Consumer Cyclical,2026-08-21 02:19:35,121.41000366210938,0.4015083182465853,0.01243715065719253,ALV,2026-09-03 04:01:28,118.83000183105467,momentum_perdu,-0.02125032331137211
Industrials,2026-08-21 02:19:35,136.3699951171875,0.4672013788023976,0.0,CPA,2026-09-03 04:01:28,128.36500549316406,momentum_perdu,-0.05870051998714576
Financial Services,2026-08-26 12:26:29,39.43999862670898,0.689360634455501,0.0575557945437255,ITUB4.SA,2026-09-03 17:02:24,41.709999084472656,momentum_perdu,0.0575557945437255
Industrials,2026-08-26 12:26:29,262.42999267578125,0.6582011936237555,0.005182394951406488,PINFRA.MX,2026-09-03 18:07:12,263.7900085449219,momentum_perdu,0.005182394951406488
Technology,2026-08-28 11:59:01,15.920000076293944,0.2756540416481758,0.16143214086105062,PATH,2026-09-04 19:02:26,15.270099639892578,trailing_stop,-0.040822891538117245
