sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,16.666666666666668,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,16.941548165246832
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,16.666666666666668,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,20.03683073381311
Real Estate,2026-08-21 02:19:35,93.1999969482422,2.504620336863256,16.666666666666668,0.6608111663051868,TWD,0.036480704261900865,0,2548.TW,-0.016094421127857084,16.768496320573114
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,16.666666666666668,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.03830699799179138,16.33750796314987
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,16.666666666666668,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.2084917509084192,20.530193692413604
Financial Services,2026-08-21 02:19:35,367.1000061035156,314.08708679059924,16.666666666666668,0.2895035580457412,USD,0.00920731361104754,0,AMG,-0.05140287334091331,16.115031593503925
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,16.666666666666668,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,16.734624465073146
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,16.666666666666668,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,17.042790162644412
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,16.666666666666668,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,17.610883168065893
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,16.666666666666668,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.02428922803054745,16.575645734652
Consumer Defensive,2026-08-21 02:19:35,3000.0,16.15474133457877,16.666666666666668,0.540363778928,JPY,0.018000000000000016,0,2503.T,-0.03916666666666668,16.47631510404485
Financial Services,2026-08-21 02:19:35,223.8800048828125,191.54948884549825,16.666666666666668,0.328750841489845,USD,0.03475075312495712,0,THG,0.031177396709423322,17.517928169364552
Consumer Cyclical,2026-08-21 02:19:35,232.5,6.248114242365219,16.666666666666668,0.6744223635918247,TWD,0.017204301075268713,0,2727.TW,-0.02580645161290318,16.602976222963267
Technology,2026-08-21 02:19:35,465.06529339380893,399.2383455244786,51.17211068178865,0.4393455389831691,USD,0.0,4,WDC,-0.050980989738945715,49.335123813988815
Healthcare,2026-08-21 02:19:35,13.890000343322754,11.884145112556801,16.666666666666668,0.4452661773738038,USD,0.0341972221781659,0,BVS,-0.0885457400797447,15.484038251707
Financial Services,2026-08-21 02:19:35,82.81999969482422,82.81999969482422,16.666666666666668,0.3490611475338754,EUR,0.025597714976984154,0,UCG.MI,-0.01690414792366146,16.384930867938976
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,16.666666666666668,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,17.433373698674234
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,226.84257551044055,16.666666666666668,0.3556015121851461,USD,0.0,0,AMZN,-0.02619472408371315,16.54327463818219
Technology,2026-08-21 02:19:35,717.0,19.268378115164996,16.666666666666668,0.4661953224589044,TWD,0.015341701534170138,0,2379.TW,-0.019525801952580246,16.710016017209238
Healthcare,2026-08-21 02:19:35,243.72999572753903,208.5329421104981,16.666666666666668,0.3236953567372271,USD,0.030238421635289114,0,JAZZ,-0.009395615337772112,16.82866256586547
Financial Services,2026-08-21 02:19:35,53.290000915527344,45.59439080452267,16.666666666666668,0.4587169403769879,USD,0.0,0,OFG,-0.009007309701442812,16.835259209921755
Industrials,2026-08-21 02:19:35,95.61499786376952,81.80723408664943,16.666666666666668,0.4455501490409179,USD,0.0,0,DCI,-0.10442923007306859,15.21420510983464
Technology,2026-08-21 02:19:35,483.0,12.979953458332906,16.666666666666668,0.3661143840629577,TWD,0.039337474120082705,0,3044.TW,0.0331262939958592,17.60735464008191
Healthcare,2026-08-21 02:19:35,33.60820329661536,28.824576089435062,32.50009947507691,0.3966413259722792,USD,0.0171064112460233,1,AMN,-0.0276183461295908,32.13439365975005
Financial Services,2026-08-21 02:19:35,53.93000030517578,46.141967869355945,16.666666666666668,0.3077734286029119,USD,0.04561466846935214,0,UFCS,0.015204889489784046,17.246582778114526
Industrials,2026-08-21 02:19:35,3034.0,16.337828403037328,16.666666666666668,0.5833156874995833,JPY,0.009558338826631596,0,1802.T,-0.0003295978905735186,17.14229094051219
Consumer Cyclical,2026-09-02 16:04:24,42.10499954223633,36.343353516520324,16.666666666666668,0.2988270214310851,USD,0.0,0,YETI,-0.01436882908951087,16.59732676226016
