ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
7189.T,2026-09-03,5023.0,Financial Services,Banks - Regional,"Nishi-Nippon Financial Holdings, Inc.",0.017439894,1.0928595,288017.8,0.07813,0.22153999,,699615805440.0,0.56,0.9813090559747008,,JPY,452211.0,Japan,3940.0,4170.0,4400.0,none,2.0,,,,,,,,,13.980483,13.38502025,216,13.38502025,0.15,0.365,0.5391666666666667,0.7814583333333334,10.459835616197918,3012618.8425389687,598.764850196888,0.1924712877471899,1.5007997,-0.16981883336651404,P/E de 0.0 nettement sous la mediane de l'industrie (13.4) ; momentum (+98%) superieur au secteur (+19%) ; PEG bas (0.56) : croissance qui justifie plus que le P/E actuel,False
2491.TW,2026-09-03,47.650001525878906,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Fortune Oriental Company Limited,1.4890625,4.2049065,32.0,0.29183,1.64326,2.17,3907681280.0,,2.968749881256373,,TWD,1179806.0,Taiwan,,,,none,,,,,,,,,,16.624776,15.793919,29,15.793919,0.8138075313807531,0.9916317991631799,0.04602510460251046,1.393305439330544,22.005753251046027,704.1841040334729,13.778259842258928,0.0049086485502458,1.82180005,,P/E de 1.5 nettement sous la mediane de l'industrie (15.8) ; ROE (29%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
LYFT,2026-09-02,17.37019920349121,Technology,Software - Application,"Lyft, Inc.",2.5284133,2.1783545,6.87,1.52579,0.42317,42.738,6575319552.0,0.15,-0.2321672220451023,,USD,11894596.0,United States,14.5,19.81622,30.0,buy,37.0,,,,,,,,,24.234068,26.324999,67,26.324999,0.9929078014184397,0.9680851063829787,0.6223404255319149,1.332890070921986,35.088329784131204,241.05682561698137,12.877608586580383,0.18160768933520066,3.1429535,0.14081708377973978,P/E de 2.5 nettement sous la mediane de l'industrie (26.3) ; ROE (153%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2911.TW,2026-09-03,6.309999942779541,Consumer Cyclical,Apparel Retail,"Les Enphants Co., Ltd.",1.6347151,0.4850488,3.86,0.44502,0.20374,105.032,663345024.0,,0.2627451328716115,,TWD,253762.0,Taiwan,,,,none,,,,,,,,,,16.624776,15.146707,22,15.146707,0.9100418410041841,0.899581589958159,0.6694560669456067,1.2625523012552302,19.123509779288703,73.8167477480544,10.698375343492996,0.0049086485502458,1.82180005,,P/E de 1.6 nettement sous la mediane de l'industrie (15.1) ; ROE (45%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
1608.TW,2026-09-03,37.04999923706055,Industrials,Electrical Equipment & Parts,"Hua Eng Wire & Cable Co., Ltd.",3.21894,1.3906091,11.51,0.48089,0.39933,33.453,15716967424.0,,0.2571938319728764,,TWD,5194742.0,Taiwan,,,,none,,,,,,,,,,21.574627999999997,26.86747,49,26.86747,0.9606413994169096,0.9810495626822158,0.30174927113702626,1.4001457725947521,37.618374540816326,432.9874909647959,10.686572196516677,0.12008745507775205,2.37543655,,P/E de 3.2 nettement sous la mediane de l'industrie (26.9) ; ROE (48%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2102.TW,2026-09-03,18.450000762939453,Consumer Cyclical,Auto Parts,Federal Corporation,2.1553738,0.8944154,8.56,0.51672,18.06365,0.004,8479140864.0,,-0.0185676591186592,,TWD,261796.0,Taiwan,,,,none,,,,,,,,,,16.624776,16.658537,71,16.658537,0.9330543933054394,0.997907949790795,0.0020920502092050207,1.465481171548117,24.412772319037654,208.97333105096232,10.326467339271193,0.0049086485502458,1.82180005,,P/E de 2.2 nettement sous la mediane de l'industrie (16.7) ; ROE (52%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2915.TW,2026-09-03,56.900001525878906,Consumer Cyclical,Textile Manufacturing,Ruentex Industries Ltd.,1.7943867,0.36217126,31.71,0.26754,15.824771,6.022,60753588224.0,,0.1085949337885501,,TWD,3770843.0,Taiwan,,,,none,,,,,,,,,,16.624776,14.569893,31,14.569893,0.7907949790794979,0.99581589958159,0.0899581589958159,1.3718619246861925,19.987881453451884,633.8157208889593,10.139116061371126,0.0049086485502458,1.82180005,,P/E de 1.8 nettement sous la mediane de l'industrie (14.6) ; ROE (27%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
9945.TW,2026-09-03,28.299999237060547,Industrials,Engineering & Construction,"Ruentex Development Co.,Ltd.",2.2767496,0.4787117,12.43,0.28316998,0.7476,37.791,79795134464.0,0.26,-0.0201372890946754,,TWD,8983824.0,Taiwan,,,,none,,,,,,,,,,21.574627999999997,17.453196,87,17.453196,0.8629737609329446,0.9927113702623906,0.35714285714285715,1.3403790087463556,23.393897553935858,290.78614659542274,9.27512913196905,0.12008745507775205,2.37543655,,P/E de 2.3 nettement sous la mediane de l'industrie (17.5) ; ROE (28%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
CAI,2026-09-03,23.8799991607666,Healthcare,Biotechnology,"Caris Life Sciences, Inc.",2.492693,11.404011,9.58,0.20129,0.10624,76.454,6750414848.0,,-0.1573553794671681,,USD,4206434.0,United States,22.0,27.0,36.0,none,12.0,63262624.0,793115008.0,452401984.0,4.754,0.1021,USD,-37666.66666666666,0.0,23.3923085,20.7848435,28,20.7848435,0.6814516129032258,0.4838709677419355,0.7056451612903226,1.0352822580645162,21.518179712197583,206.14416164285285,7.632502884737756,0.10175650651128215,2.97182475,0.13065330606708603,"P/E de 2.5 nettement sous la mediane de l'industrie (20.8) ; cible analystes (12 analystes, moyenne 27.00) +13% au-dessus du prix actuel",False
1432.TW,2026-09-03,15.050000190734863,Consumer Cyclical,Leisure,TRK Corporation,2.956778,1.2249715,5.09,0.39253,0.51854,115.382,1625400064.0,,-0.0301723858866473,,TWD,281524.0,Taiwan,,,,none,,,,,,,,,,16.624776,19.272102,32,19.272102,0.8870292887029289,0.9748953974895398,0.7154811715481172,1.25836820083682,24.25140032008368,123.43962762922592,7.201968509290669,0.0049086485502458,1.82180005,,P/E de 3.0 nettement sous la mediane de l'industrie (19.3) ; ROE (39%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
STNE,2026-09-02,10.3100004196167,Technology,Software - Infrastructure,StoneCo Ltd.,3.9201522,1.0423089,2.63,0.33968,0.24714,187.682,2377441024.0,,-0.3790756302623609,,USD,4771246.0,Cayman Islands,9.130767,15.220661,23.678535,buy,17.0,,,,,,,,,24.234068,27.76909,50,27.76909,0.8581560283687943,0.8475177304964538,0.9432624113475178,1.1551418439716314,32.07723782801419,84.36313548767731,7.182651023676071,0.18160768933520066,3.1429535,0.47630071586028766,P/E de 3.9 nettement sous la mediane de l'industrie (27.8) ; ROE (34%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2628.HK,2026-09-03,30.5,Financial Services,Insurance - Life,China Life Insurance Company Limited,2.9872673,1.1138878,10.21,0.41301998,0.54195,38.5,862073454592.0,0.38,0.424236555981651,,HKD,55265905.0,China,14.160333,35.991478,44.561577,buy,15.0,,,,,,,,,13.980483,17.342106,27,17.342106,0.96,0.8816666666666667,0.2633333333333333,1.3845833333333333,24.0115909325,245.15834342082502,7.0379784728139345,0.1924712877471899,1.5007997,0.18004845901639355,P/E de 3.0 nettement sous la mediane de l'industrie (17.3) ; ROE (41%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
KEP,2026-09-02,11.604999542236328,Utilities,Utilities - Regulated Electric,Korea Electric Power Corporation,2.619639,0.4064912,4.43,0.16595,0.08035,263.19,14899986432.0,0.44,-0.1111110948714465,,USD,1148944.0,South Korea,15.0,15.0,15.0,none,1.0,,,,,,,,,18.395144,19.012283,49,19.012283,0.84251968503937,0.33070866141732286,0.9212598425196851,1.0236220472440944,19.461392047244093,86.21396676929133,6.429036636797451,0.0964512996038442,1.7816312,0.29254636722798555,P/E de 2.6 nettement sous la mediane de l'industrie (19.0) ; ROE (17%) dans le haut du secteur ; PEG bas (0.44) : croissance qui justifie plus que le P/E actuel,False
BYD,2026-09-03,76.8949966430664,Consumer Cyclical,Resorts & Casinos,Boyd Gaming Corporation,3.4114904,2.2483916,22.54,0.93084997,0.44341,130.47,5586838016.0,3.03,-0.0963094409268405,,USD,943495.0,United States,87.0,95.9375,111.0,buy,16.0,283961504.0,323612992.0,3258284032.0,0.646,0.20891,USD,-625609666.6666666,-61480666.66666666,16.624776,18.8534655,10,18.8534655,0.9686192468619247,0.9686192468619247,0.7531380753138075,1.2881799163179917,24.28665561009414,547.4212174515219,6.119074599776091,0.0049086485502458,1.82180005,0.24764294412191323,P/E de 3.4 nettement sous la mediane de l'industrie (18.9) ; ROE (93%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
