ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
2413.TW,2026-09-21,58.400001525878906,Technology,Electronic Components,"Universal Microelectronics Co., Ltd.",15.573334,3.2893996,3.75,0.23667999,0.13350001,55.851,7437765632.0,0.62,1.0045343819685346,,TWD,2405991.0,Taiwan,,,,none,,443732000.0,1518387968.0,1263090944.0,1.455,0.047259998,TWD,0.0,-44387500.0,23.875067,25.056390999999998,116,25.056390999999998,0.7245080500894454,0.5974955277280859,0.7316636851520573,1.07871198568873,27.02862928980322,101.35735983676207,0.7355711847344282,0.1768172085560135,3.141345,,P/E de 15.6 nettement sous la mediane de l'industrie (25.1) ; momentum (+100%) superieur au secteur (+18%) ; PEG bas (0.62) : croissance qui justifie plus que le P/E actuel,True
FHI,2026-09-16,56.4900016784668,Financial Services,Asset Management,"Federated Hermes, Inc.",10.5,3.2213733,5.38,0.31137,0.21295999,32.354,4217559296.0,1.43,0.2584817680613112,,USD,587266.0,United States,55.0,61.0,64.0,hold,7.0,371463872.0,480710016.0,451942016.0,2.372,0.27722,USD,-192485333.3333333,-129258666.66666669,13.805251,14.458955,125,14.458955,0.9239669421487603,0.33553719008264465,0.23636363636363636,1.2367768595041322,17.88250095661157,96.20785514657024,0.7030952785976521,0.188379337568358,1.4837632,0.07983710723188642,P/E de 10.5 nettement sous la mediane de l'industrie (14.5) ; ROE (31%) dans le haut du secteur ; dette plus faible que la mediane du secteur,True
4503.T,2026-09-21,2383.5,Healthcare,Drug Manufacturers - General,Astellas Pharma Inc.,14.683957,2.1998663,162.32,0.21301001,0.16046,30.336,4273648173056.0,0.37,0.5042053470821488,,JPY,6312277.0,Japan,1700.0,2507.8572,3100.0,buy,14.0,383557992448.0,244698005504.0,589870006272.0,0.882,0.2892,JPY,-6141666666.666667,-127248333333.33331,22.8845235,21.1256495,22,21.1256495,0.717741935483871,0.6532258064516129,0.375,1.1784274193548387,24.89504462247984,4040.9636431209274,0.69539066210234,0.10386082482070455,2.90274665,0.05217419760855879,P/E de 14.7 nettement sous la mediane de l'industrie (21.1) ; momentum (+50%) superieur au secteur (+10%) ; PEG bas (0.37) : croissance qui justifie plus que le P/E actuel,True
9942.TW,2026-09-21,114.5,Consumer Cyclical,Auto Parts,NAK Sealing Technologies Corporation,12.596259,2.2806492,9.09,0.19129999,0.17611,7.234,9521971200.0,1.68,0.1097823325195554,,TWD,104843.0,Taiwan,,,,none,,-216731120.0,571788992.0,302308000.0,1.367,0.24936001,TWD,0.0,-543320333.3333334,16.3701185,16.593407,71,16.593407,0.6561181434599156,0.8734177215189873,0.10126582278481013,1.2710970464135023,21.091830627637133,191.72474040522152,0.6744518812683102,0.0049086485502458,1.77405475,,P/E de 12.6 nettement sous la mediane de l'industrie (16.6) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
FRSH,2026-09-17,12.59000015258789,Technology,Software - Application,Freshworks Inc.,19.984127,3.6931653,0.63,0.19695,0.20489,3.861,3284992512.0,0.51,0.1826677599754977,,USD,13703561.0,United States,10.0,14.78571,25.0,buy,14.0,260802752.0,664107008.0,34594000.0,1.507,0.05531,USD,-133333000.0,0.0,23.875067,27.236044,69,27.236044,0.6368515205724508,0.7728085867620751,0.1735241502683363,1.2182468694096602,33.18022533810376,20.90354196300537,0.66032896820169,0.1768172085560135,3.141345,0.17440109776017576,P/E de 20.0 nettement sous la mediane de l'industrie (27.2) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
YUMC,2026-09-03,43.720001220703125,Consumer Cyclical,Restaurants,"Yum China Holdings, Inc.",16.014652,2.8772624,2.73,0.16808,0.07839,37.981,14880715776.0,1.0,0.0585679849156757,,USD,1685173.0,China,52.0,62.05238,77.0,strong_buy,21.0,859875008.0,1410000000.0,2302000128.0,0.659,0.11472,USD,-1002000000.0,-272333333.3333333,16.3701185,23.8306,27,23.8306,0.6012658227848101,0.5717299578059072,0.33755274261603374,1.1091772151898733,26.432358544303796,72.16033882594937,0.6505109060193401,0.0049086485502458,1.77405475,0.4193133181024655,P/E de 16.0 nettement sous la mediane de l'industrie (23.8) ; dette plus faible que la mediane du secteur ; momentum (+6%) superieur au secteur (+0%),True
MD,2026-09-17,25.90999984741211,Healthcare,Medical Care Facilities,"Pediatrix Medical Group, Inc.",12.39713,2.3319232,2.09,0.20389,0.08962,70.371,2105272320.0,0.24,0.565970121924557,,USD,800958.0,United States,21.0,26.33333,28.0,none,6.0,160776992.0,404198016.0,619955968.0,1.282,0.13407,USD,-29768333.33333333,0.0,22.8845235,20.098073,28,20.098073,0.6814516129032258,0.36693548387096775,0.6935483870967742,1.0090725806451615,20.28041438810484,42.38606607113911,0.6358960370805495,0.10386082482070455,2.90274665,0.01633848533697213,P/E de 12.4 nettement sous la mediane de l'industrie (20.1) ; momentum (+57%) superieur au secteur (+10%) ; PEG bas (0.24) : croissance qui justifie plus que le P/E actuel,True
2404.TW,2026-09-16,1035.0,Industrials,Engineering & Construction,"United Integrated Services Co., Ltd.",15.648624,10.913232,66.14,0.81274,0.14538,0.952,195497738240.0,1.21,0.2210448961994704,,TWD,1940989.0,Taiwan,1690.0,1777.5,1865.0,buy,2.0,28277477376.0,64551567360.0,173103008.0,1.149,0.19958,TWD,0.0,-4011183333.3333335,21.189800499999997,17.885448,87,17.885448,0.9809941520467836,0.7748538011695907,0.02631578947368421,1.4276315789473684,25.533830368421054,1688.8075405673685,0.6316981068283753,0.11879627642870236,2.37770425,0.7173913043478262,ROE (81%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
MU,2026-09-21,1045.18505859375,Technology,Semiconductors,"Micron Technology, Inc.",23.59867,11.715352,44.29,0.66638,0.55906,6.33,1180424863744.0,0.15,4.739115184703714,,USD,39077752.0,United States,361.0,1515.0,2200.0,strong_buy,46.0,7639499776.0,26022000640.0,6376000000.0,2.927,0.80370003,USD,-241666666.66666663,-513000000.0,23.875067,27.089228499999997,70,27.089228499999997,0.9516994633273703,0.9856887298747764,0.21288014311270126,1.4190518783542039,38.44102058609123,1702.5528017579804,0.628948661061697,0.1768172085560135,3.141345,0.4495040735067195,ROE (67%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
4507.T,2026-09-18,2968.5,Healthcare,Drug Manufacturers - Specialty & Generic,"Shionogi & Co., Ltd.",12.317938,1.425381,240.99,0.16773,0.46785998,38.591,2526120509440.0,0.66,0.1353689465649146,,JPY,2609077.0,Japan,2900.0,3350.0,4000.0,buy,12.0,-5307125248.0,298936991744.0,684131024896.0,0.58,0.11417,JPY,-25065666666.666668,-49583000000.0,22.8845235,17.0504845,38,17.0504845,0.592741935483871,0.9516129032258065,0.43548387096774194,1.1754032258064515,20.041194482862903,4829.727458425131,0.6269925748442415,0.10386082482070455,2.90274665,0.1285160855651002,P/E de 12.3 nettement sous la mediane de l'industrie (17.1) ; marge superieure a la mediane du secteur ; momentum (+14%) superieur au secteur (+10%),True
