ticker,name,sector,industry,pilier_bilan,pilier_rendement_capital,pilier_cash,pilier_marges,pilier_discipline,note_qualite_20,note_qualite_n_piliers,note_qualite_low_confidence,pilier_valorisation,pilier_momentum,note_perspective_20,note_perspective_n_piliers,note_perspective_low_confidence
GALD.SW,Galderma Group AG,Healthcare,Drug Manufacturers - Specialty & Generic,10.2,12.8,,15.8,,12.9,3,False,0.0,11.3,5.6,2,False
GALE.SW,Galenica AG,Healthcare,Medical Distribution,5.1,13.2,,10.7,,9.7,3,False,0.5,6.7,3.6,2,False
GF.SW,Georg Fischer AG,Industrials,Specialty Industrial Machinery,0.0,0.4,,1.4,,0.6,3,False,,5.2,5.2,1,True
HBAN.SW,Helvetia Baloise Holding AG,Financial Services,Insurance - Diversified,5.8,3.1,,3.0,,4.0,3,False,0.8,8.6,4.7,2,False
PSPN.SW,PSP Swiss Property AG,Real Estate,Real Estate Services,14.8,11.5,,18.9,,15.1,3,False,14.1,12.7,13.4,2,False
RO.SW,Roche Holding AG,Healthcare,Drug Manufacturers - General,4.3,18.9,,17.2,,13.5,3,False,9.9,13.4,11.6,2,False
SCHN.SW,Schindler Holding AG,Industrials,Specialty Industrial Machinery,16.6,16.2,,12.7,,15.2,3,False,11.1,4.8,8.0,2,False
SGSN.SW,SGS SA,Industrials,Consulting Services,0.6,19.7,,12.5,,10.9,3,False,7.4,11.4,9.4,2,False
SIGN.SW,SIG Group AG,Consumer Cyclical,Packaging & Containers,8.5,2.6,,2.4,,4.5,3,False,,19.2,19.2,1,True
SOON.SW,Sonova Holding AG,Healthcare,Medical Devices,6.8,16.6,,15.0,,12.8,3,False,10.0,8.9,9.4,2,False
STMN.SW,Straumann Holding AG,Healthcare,Medical Instruments & Supplies,12.0,15.8,,15.6,,14.5,3,False,6.4,9.3,7.8,2,False
SUNN.SW,Sunrise Communications AG,Communication Services,Telecom Services,3.9,3.6,,3.4,,3.6,3,False,,8.8,8.8,1,True
SQN.SW,Swissquote Group Holding SA,Financial Services,Capital Markets,13.8,18.3,,17.4,,16.5,3,False,10.0,0.8,5.4,2,False
UHR.SW,The Swatch Group AG,Consumer Cyclical,Luxury Goods,19.1,3.0,,3.2,,8.4,3,False,0.0,16.9,8.4,2,False
SPSN.SW,Swiss Prime Site AG,Real Estate,Real Estate - Diversified,10.6,9.0,,17.8,,12.5,3,False,0.0,14.4,7.2,2,False
VACN.SW,VAT Group AG,Industrials,Specialty Industrial Machinery,9.9,17.8,,18.2,,15.3,3,False,0.0,18.8,9.4,2,False
GFC.PA,Gecina,Real Estate,REIT - Office,13.3,4.3,,10.0,,9.2,3,False,5.8,3.9,4.8,2,False
GET.PA,Getlink SE,Industrials,Railroads,1.6,11.3,,17.8,,10.2,3,False,0.0,13.1,6.6,2,False
LI.PA,Klépierre SA,Real Estate,REIT - Retail,13.4,16.5,,18.2,,16.0,3,False,20.0,15.9,18.0,2,False
RCO.PA,Rémy Cointreau SA,Consumer Defensive,Beverages - Wineries & Distilleries,12.5,4.0,,13.4,,10.0,3,False,9.6,9.6,9.6,2,False
RXL.PA,Rexel S.A.,Technology,Electronics & Computer Distribution,3.1,11.2,,7.0,,7.1,3,False,10.0,11.9,11.0,2,False
SOI.PA,Soitec SA,Technology,Semiconductor Equipment & Materials,7.1,1.8,,0.7,,3.2,3,False,,18.6,18.6,1,True
SOLB.BR,Solvay SA,Basic Materials,Chemicals,0.6,4.5,,4.4,,3.2,3,False,0.0,5.5,2.8,2,False
UBI.PA,Ubisoft Entertainment SA,Communication Services,Electronic Gaming & Multimedia,4.6,0.4,,0.4,,1.8,3,False,,1.3,1.3,1,True
FR.PA,Valeo SE,Consumer Cyclical,Auto Parts,4.0,6.9,,4.0,,5.0,3,False,10.3,17.9,14.1,2,False
DATA.L,GlobalData Plc,Industrials,Consulting Services,9.8,11.4,,13.3,,11.5,3,False,14.2,1.0,7.6,2,False
DB1.DE,Deutsche Börse AG,Financial Services,Financial Data & Stock Exchanges,8.4,16.1,,10.6,,11.7,3,False,9.6,12.6,11.1,2,False
DBK.DE,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,,5.3,,8.6,,7.0,2,True,14.3,10.5,12.4,2,False
DCC.L,DCC Energy plc,Energy,Oil & Gas Refining & Marketing,4.6,8.5,,3.1,,5.4,3,False,0.0,8.3,4.2,2,False
DG.PA,Vinci SA,Industrials,Engineering & Construction,4.2,13.3,,9.8,,9.1,3,False,16.3,6.9,11.6,2,False
DHL.DE,Deutsche Post AG,Industrials,Integrated Freight & Logistics,3.9,14.4,,6.5,,8.3,3,False,12.9,17.1,15.0,2,False
DIM.PA,Sartorius Stedim Biotech S.A.,Healthcare,Medical Instruments & Supplies,7.6,10.4,,13.8,,10.6,3,False,0.0,9.7,4.8,2,False
DLN.L,Derwent London Plc,Real Estate,REIT - Office,17.2,3.9,,7.9,,9.7,3,False,0.0,15.6,7.8,2,False
DNB.OL,DNB Bank ASA,Financial Services,Banks - Regional,,12.7,,17.5,,15.1,2,True,12.9,11.9,12.4,2,False
DNLM.L,Dunelm Group plc,Consumer Cyclical,Specialty Retail,3.6,19.4,,13.1,,12.0,3,False,16.5,3.8,10.2,2,False
DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,6.8,6.9,,6.9,,6.9,3,False,0.0,4.0,2.0,2,False
DPLM.L,Diploma PLC,Industrials,Industrial Distribution,11.2,14.9,,14.2,,13.4,3,False,0.0,15.2,7.6,2,False
DRX.L,Drax Group plc,Utilities,Utilities - Renewable,16.8,1.5,,1.7,,6.7,3,False,0.0,12.4,6.2,2,False
DSCV.L,discoverIE Group plc,Technology,Electronic Components,4.5,9.2,,9.6,,7.8,3,False,10.9,12.2,11.6,2,False
DSY.PA,Dassault Systèmes SE,Technology,Software - Application,8.6,12.7,,17.0,,12.8,3,False,15.5,3.5,9.5,2,False
DTG.DE,Daimler Truck Holding AG,Industrials,Farm & Heavy Construction Machinery,3.7,4.4,,8.4,,5.5,3,False,2.8,15.4,9.1,2,False
ECV.DE,,,,,,,,,,0,True,,,,0,True
EDEN.PA,Edenred SE,Financial Services,Credit Services,,,,7.3,,7.3,1,True,10.0,17.8,13.9,2,False
EDIN.L,Edinburgh Investment Ord,,,,,,,,,0,True,,,,0,True
EDPR.LS,"EDP Renewables, S.A.",Utilities,Utilities - Renewable,15.6,2.8,,13.5,,10.6,3,False,0.0,16.7,8.4,2,False
EDV.L,Endeavour Mining plc,Basic Materials,Gold,11.6,18.4,,14.8,,14.9,3,False,5.3,15.0,10.2,2,False
EL.PA,EssilorLuxottica Société anonyme,Healthcare,Medical Instruments & Supplies,9.4,10.2,,13.2,,10.9,3,False,12.6,1.1,6.8,2,False
ELE.MC,"Endesa, S.A.",Utilities,Utilities - Regulated Electric,12.3,19.6,,11.5,,14.5,3,False,12.5,19.9,16.2,2,False
ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,9.9,11.0,,13.0,,11.3,3,False,14.8,5.8,10.3,2,False
EMG.L,Man Group Plc,Financial Services,Asset Management,14.6,16.4,,7.5,,12.8,3,False,10.3,18.7,14.5,2,False
