ticker,error,price,market_cap,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,mom_12_2,sector_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,passes_filter
AGNC,,10.609999656677246,12577957888.0,Real Estate,REIT - Mortgage,AGNC Investment Corp.,5.305,1.1681162,2.0,0.19799,0.94377,717.093,0.23684311568652805,26.7354275,1.0,1.0,1.0,1.25,33.419284375000004,66.83856875000001,5.299582555399627,-0.08279241984590469,False
BVC,,10.739999771118164,1804320000.0,Technology,Software - Application,BitVentures Limited,7.356164,6.165327,1.46,0.22775,5.2123103,,14.768688914696085,41.30662,0.5483870967741935,1.0,0.6129032258064516,1.1209677419354838,46.3033885483871,67.60294728064515,5.294501743141738,0.3152875483628228,True
CHY,,12.930000305175781,1038670976.0,Financial Services,Asset Management,Calamos Convertible and High In,3.085919,1.0149933,4.19,0.36298,20.20017,46.224,0.25554782212125815,12.895105,1.0,0.9655172413793104,0.20689655172413793,1.4396551724137931,18.564504612068966,77.78527432456897,5.0158756758445024,0.21317944156180424,True
CHI,,12.869999885559082,1038696320.0,Financial Services,Asset Management,Calamos Convertible Opportuniti,3.3255816,1.073126,3.87,0.35838002,20.2506,44.844,0.3160354476425282,12.895105,0.9655172413793104,1.0,0.1724137931034483,1.4396551724137931,18.564504612068966,71.8446328487069,4.582333604316571,0.21317944156180424,True
AMSC,,32.900001525878906,1593746560.0,Industrials,Specialty Industrial Machinery,American Superconductor Corpora,10.716613,2.8213704,3.07,0.35561,0.44729,0.72,-0.4114228468710234,38.811596,0.7777777777777778,1.0,0.1111111111111111,1.3611111111111112,52.82689455555556,162.17856628555558,3.92943947610419,0.10291152301310547,True
AUPH,,16.1299991607666,2074344832.0,Healthcare,Biotechnology,Aurinia Pharmaceuticals Inc,7.467592,3.7157335,2.16,0.64983004,0.99973,12.092,0.2410342283979241,27.978724,0.7368421052631579,1.0,0.2631578947368421,1.3026315789473684,36.44596942105263,78.72329394947369,3.8805516457157863,0.17375004291534424,True
AVAH,,9.3100004196167,2027300992.0,Healthcare,Medical Care Facilities,Aveanna Healthcare Holdings Inc,7.694215,8.410118,1.21,3.68009,0.103690006,623.924,0.17375004291534424,27.978724,0.9473684210526315,0.631578947368421,0.9473684210526315,1.144736842105263,32.02827615789473,38.75421415105262,3.1626436524530437,0.17375004291534424,False
CHKP,,125.27999877929688,12791166976.0,Technology,Software - Infrastructure,Check Point Software Technologi,12.849231,4.7097745,9.75,0.37639,0.37932,72.153,-0.34177281943063087,41.30662,0.7419354838709677,0.9354838709677419,0.6774193548387096,1.185483870967742,48.96833177419355,477.44123479838714,2.810993290632811,0.3152875483628228,True
ADBE,,260.239990234375,103445397504.0,Technology,Software - Application,Adobe Inc.,14.836943,9.015138,17.54,0.62953997,0.28689,61.443,-0.29798151081427604,41.30662,0.9032258064516129,0.8387096774193549,0.5161290322580645,1.282258064516129,52.965746612903224,929.0191955903225,2.5698556349992083,0.3152875483628228,True
CHTR,,157.44000244140625,21219368960.0,Communication Services,Telecom Services,"Charter Communications, Inc.",3.985823,1.1077807,39.5,0.27201998,0.09052,441.578,-0.45410044785852377,15.179246,0.6,0.4,1.0,0.9000000000000001,13.661321400000002,539.6221953,2.427478321469341,-0.21095661258199194,False
AFYA,,13.90999984741211,1272105984.0,Consumer Defensive,Education & Training Services,Afya Limited,8.3795185,1.3323394,1.66,0.16757,0.20073,66.887,-0.01837556788943906,22.888151999999998,0.6666666666666666,1.0,0.5,1.2083333333333333,27.656516999999997,45.90981821999999,2.3004902029917202,0.16473142283086928,True
BLKB,,46.36000061035156,2104284928.0,Technology,Software - Application,"Blackbaud, Inc.",14.4875,31.010035,3.2,1.94448,0.13124,1727.037,-0.3584170315627747,41.30662,1.0,0.5161290322580645,1.0,1.129032258064516,46.6365064516129,149.2368206451613,2.219085821406109,0.3152875483628228,False
CENX,,45.95000076293945,4547857408.0,Basic Materials,Aluminum,Century Aluminum Company,13.966566,3.9516683,3.29,0.32259998,0.13676,42.499,1.0049261357244692,38.584795,0.75,0.5,0.75,1.0625,40.9963446875,134.877974021875,1.93532038699463,0.9406425916773093,True
