ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
2006.TW,Tung Ho Steel Enterprise Corporation,Basic Materials,,open,TWD,False,2026-09-02,82.69999694824219,36.0,80.8997442031102,0.7385224075216617,1.0971731448763251,0.2462550898512692,0.201509339152061,2026-09-19,87.5999984741211,0.6078116449163087,0.4120969916689139,86.34795466858603,0.059250322934661925,0.0689238789356192,2026-09-18,,,,,,,ollama,positive,"L'action de Tung Ho Steel Enterprise Corporation est affectée par des actualites positives, telles que la securedure de 25 millions de dollars de finance et la reconnaissance de Taiwan comme leader dans l'urban mining.",concentrated,"le texte ne mentionne qu'un seul grand groupe comme client principal et ne précise pas si le secteur public est un seul client ou plusieurs, mais il ne mentionne pas non plus de diversification de clients"
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,,open,TWD,False,2026-09-02,114.5,5.0,15.55706553992117,0.6289802894073993,1.273109243697479,0.1102171891543526,0.002606337303682,2026-09-19,115.0,0.6474828524037266,0.10978233251955549,15.743935438634313,0.004366812227074135,0.004366812227074135,2026-09-19,,,,,,,ollama,negative,"Aucune information positive n'est disponible dans les actualites fournies, les reports d'earnings sont souvent associés à une baisse des prix.",diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
LAUR,"Laureate Education, Inc.",Consumer Defensive,,open,USD,True,2026-09-02,37.52999877929688,0.5139921132596835,16.666666666666668,0.3152441956972045,1.2974537037037035,0.3941048766907418,0.0378584660683999,2026-09-19,36.130001068115234,0.3321337074656241,0.18991749175316652,16.1637942858318,-0.03730343076786735,-0.0178523365504322,2026-09-14,,,,,,,ollama,neutral,"Bien que certaines actualités mentionnent des valeurs et des risques potentiels, d'autres soulignent les performances récentes et les perspectives de croissance, ce qui laisse un ton neutre overall.",diversified,"L'entreprise offre une gamme de programmes de haute formation à travers plusieurs pays et secteurs (médicine, ingénierie, gestion), indiquant une diversification de ses clients et de ses services."
DINO,HF Sinclair Corporation,Energy,,open,USD,True,2026-09-02,101.61000061035156,0.3796894649607738,33.333333333333336,0.4511116727417525,1.0616666666666663,0.8449667341356946,0.3902882307196006,2026-09-19,115.9000015258789,0.4042049777614596,1.004672472361337,38.302830962042286,0.14063577236187452,0.152642476558064,2026-09-18,,,,,,,ollama,positive,"L'actualité présente plusieurs articles positifs sur HF Sinclair Corporation, tels que le plan de spin-off de lubrifiants, la hausse du stock et les commentaires positifs d'investisseurs et d'insidres.",concentrated,"Le texte suggère que HF Sinclair Corporation dépend principalement d'un petit nombre de clients, tels que les 1 700 stations qu'elle approvisionne et les clients gouvernementaux, ce qui indique une concentration du marché."
4503.T,Astellas Pharma Inc.,Healthcare,,open,JPY,False,2026-09-02,2389.5,1.0,12.91642608939008,0.7306376595635848,1.180161943319838,0.4134120217072097,0.0639756046582669,2026-09-19,2383.5,0.6978861027931742,0.5042053470821488,13.276332736625973,-0.0025109855618330457,-0.002510985561833,2026-09-18,,,,,,,ollama,positive,"L'actualité présente des développements positifs pour Astellas Pharma Inc., tels que l'expansion de son accord avec Trump sur les prix des médicaments et la croissance des actions de santé, ce qui suggère un ton positif pour l'action.",concentrated,"La description de l'activité d'Astellas Pharma Inc. ne mentionne aucun client principal ou contrat gouvernemental unique, ce qui suggère une concentration sur une base de clients large et diversifiée."
1590.TW,Airtac International Group,Industrials,,open,TWD,False,2026-09-02,1395.0,1.0,37.90760948155464,0.3822136514302023,1.3470203488372092,0.7603846949160102,0.121234421411134,2026-09-19,1220.0,0.5061670623933783,0.9329979807476805,33.40452388718933,-0.1254480286738351,-0.078853046594982,2026-09-11,,,,,,,ollama,positive,"Les actualites presentent une croissance robuste, une expansion du marche pneumatique et une mise en ligne d'un magasin en ligne, indiquant un ton general positif pour l'action Airtac International Group.",diversified,"Airtac International Group offre une large gamme de produits pour différents secteurs, tels que l'automobile, la mécanique, l'électronique, etc., ce qui suggère qu'elle a une base de clients large et diversifiée."
2303.TW,United Microelectronics Corporation,Technology,,open,TWD,False,2026-09-02,126.0,4.0,13.695652457852,0.6342630322480409,1.2342625899280577,2.0387858431394714,0.1250654211554328,2026-09-19,156.0,0.38424148764094523,1.880521224401695,17.085592545578802,0.23809523809523814,0.25,2026-09-18,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de performances solides, de croissance et de valeurs attractives, ce qui suggere un ton general positif pour l'action de UMC.",concentrated,"L'entreprise semble dépendre d'un petit nombre de clients, notamment pour la fabrication de circuits intégrés, ce qui suggère une concentration de la base de clients."
YETI,"YETI Holdings, Inc.",Consumer Cyclical,,open,USD,True,2026-09-02,41.04999923706055,0.2349588762694633,8.333333333333334,0.2994928019468954,1.20640756302521,0.391922606345265,0.002606337303682,2026-09-19,42.209999084472656,0.1569443282779377,0.23719104459010865,8.632291236702024,0.028258218488950604,0.042143716793896,2026-09-18,,,,,,,ollama,positive,"Bien que YETI ait connu une pullback, les actualites recentes suggererent que l'action est consideree comme une valeur, avec des analystes et des investisseurs affirmant que le stock a du potentiel de croissance.",concentrated,"L'entreprise semble se concentrer sur une base de clients directe (site web, magasin, vente directe) et sur un petit nombre de partenaires B2B, avec une forte présence de marques et de produits dans des segments spécifiques du marché."
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,,open,JPY,False,2026-09-02,2974.5,5.0,80.40424503762274,0.4886432284224697,1.0787037037037035,0.4234966445907073,0.0378584660683999,2026-09-19,2848.5,0.543813832587619,0.4504491467880718,79.33214558481033,-0.04236006051437213,-0.0255505126912085,2026-09-17,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de diversification, de reussite financiere et de futurs investissements, ce qui suggere un ton general positif pour l'action de Kirin Holdings Company, Limited.",diversified,"L'entreprise propose une gamme de produits et de services diversifiés, notamment en matière de boissons, de médicaments, de cosmétiques et de services logistiques, ce qui suggère qu'elle n'est pas dépendante d'un petit nombre de clients."
THG,"The Hanover Insurance Group, Inc.",Financial Services,,open,USD,True,2026-09-02,226.1100006103516,0.0853130039853753,16.666666666666668,0.2690568447305834,1.1385030864197532,0.3686384437048191,0.1818403811520965,2026-09-19,227.30999755859375,0.28386716271325985,0.2643077625684238,16.879230995553506,0.005307137875383283,0.0320419048146063,2026-09-16,,,,,,,ollama,neutral,"Bien que certaines actualités mentionnent des risques et des défis pour l'action, d'autres soulignent les performances solides de l'entreprise et les investissements de nouveaux clients, ce qui équilibre les tonalités des actualités.",diversified,"L'entreprise offre une large gamme de produits d'assurance pour différents secteurs, tels que les entreprises, les collecteurs de voitures, les particuliers, etc., ce qui suggère qu'elle n'est pas concentrée sur un petit nombre de clients principaux."
4507.T,"Shionogi & Co., Ltd.",Healthcare,,open,JPY,False,2026-09-02,2982.0,1.0,16.119180832208084,0.7152599944041615,1.1811740890688258,0.1676521237984809,0.0639756046582669,2026-09-19,2954.5,0.6405495929479461,0.1353689465649146,16.456859689683842,-0.009221998658618391,0.0016767270288398,2026-09-17,,,,,,,ollama,positive,"Les actualites presentes montrent un ton general positif, avec des informations sur des resultats de quarts, des approvals de medicaments et des acquisitions, qui suggererent une perspective optimiste pour l'action de Shionogi & Co., Ltd.",diversified,"L'entreprise fournit des produits et des services à un large public (pharmaceuticals, diagnostic reagents, medical devices), ainsi que des services B2B à de nombreux clients, tels que les contrats gouvernementaux, les services d'analyse et les solutions éducatives, ce qui suggère une base de clients"
2548.TW,"Huaku Development Co., Ltd.",Real Estate,,open,TWD,False,2026-09-02,93.4000015258789,13.0,32.988641650791294,0.2666574978637117,1.108108108108108,0.094155056108129,0.0689150430922371,2026-09-19,96.5,0.15484476208094078,0.08822080304772872,34.34916001350739,0.03319056127918962,0.0503211656473039,2026-09-18,,,,,,,ollama,neutral,"Les actualites presentes ne contiennent pas de commentaires definitifs sur l'action, mais montrent des performances positives des actions du secteur Real Estate.",concentrated,"Le texte ne mentionne qu'un seul groupe, sans préciser s'il s'agit d'un client principal ou si cela fait référence à une relation de fourniture unique, ce qui suggère une concentration sur un client ou un fournisseur."
3044.TW,Tripod Technology Corporation,Technology,,open,TWD,False,2026-09-02,502.0,1.0,13.641304630638302,0.5068359280161745,1.223021582733813,0.1794810315144657,0.1250654211554328,2026-09-19,518.0,0.35222661908002584,0.6979320984207729,14.183232273413171,0.031872509960159334,0.0398406374501991,2026-09-17,,,,,,,ollama,positive,"Aucune information négative ou neutre est présente dans les actualités fournies, les articles semblent présenter des informations positives sur Tripod Technology Corporation.",diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,,open,USD,True,2026-09-02,44.61000061035156,0.2162085083980917,8.333333333333334,0.6294094998399291,1.1108193277310925,0.0905195900521054,0.002606337303682,2026-09-19,41.119998931884766,0.7077908133107995,0.05856798491567572,7.738285706607224,-0.07823361646977778,-0.0390047445563818,2026-09-14,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des annonces de ventes de Pizza Hut et des prévisions de croissance pour Yum China Holdings, Inc. [verification 'sues' : resolu favorablement (3/3 votes) -- Aucune indication de risque actif ou non résolu, le titre ne décrit pas d'événement négatif ou d'incertitude lié à YUMC.]",concentrated,"La description mentionne une forte présence de marques sous franchise, notamment KFC et Pizza Hut, ce qui suggère une dépendance importante à un petit nombre de clients principaux."
GL,Globe Life Inc.,Financial Services,,open,USD,True,2026-09-02,172.6699981689453,0.1117167057842331,16.666666666666668,0.4359933141024097,1.0185185185185186,0.3128068045612147,0.1818403811520965,2026-09-19,173.4199981689453,0.46126310376705293,0.21752591173489333,16.863052161200727,0.004343545537460303,0.0199224096709635,2026-09-16,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de dividendes et de croissance des revenus, ce qui suggere un ton general positif pour l'action de Globe Life Inc.",diversified,"L'entreprise vend ses produits à travers plusieurs canaux (direct-to-consumer, agences indépendantes, etc.) et offre une gamme variée de produits, ce qui suggère une base de clients large et diversifiée."
BVS,Bioventus Inc.,Healthcare,,open,USD,True,2026-09-02,13.649999618530272,1.4131958917432668,16.666666666666668,0.5566785468368782,1.0465587044534417,0.779729717103472,0.0639756046582669,2026-09-19,12.90999984741211,0.5923189347031121,1.040358669922274,15.87988995011089,-0.05421243895960193,-0.0274725282402883,2026-09-16,,,,,,,ollama,positive,"Les actualites recentes sur Bioventus Inc. (BVS) suggèrent une tendance positive, avec des performances solides en termes de ventes et de bénéfices, ainsi qu'une révision de la stratégie et une évaluation comme une action sous-évaluée.",diversified,"Le texte mentionne une gamme de produits pour différents types de clients, notamment des patients, des médecins, des établissements de santé, des distributeurs et des détaillants, ce qui suggère une base de clients large et diversifiée."
NDX1.DE,Nordex SE,Industrials,,open,EUR,True,2026-09-02,36.18000030517578,0.230329830377066,8.333333333333334,0.3435545613038844,1.178415697674419,0.8392344176230255,0.121234421411134,2026-09-19,39.31999969482422,0.29013442789052113,0.7311927981312882,9.05656886013515,0.0867882632162178,0.1293532411746905,2026-09-18,,,,,,,ollama,positive,"L'action de Nordex SE est soutenue par des actualites positives sur les ventes et les bénéfices, ainsi que par des prévisions de croissance et des ordres de turbine, ce qui suggère une tendance à long terme positive.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
TILE,"Interface, Inc.",Consumer Cyclical,,open,USD,True,2026-09-02,37.91999816894531,0.508705809986084,16.666666666666668,0.2825647749145543,1.2016806722689075,0.2859359230831295,0.002606337303682,2026-09-19,34.2599983215332,0.34358543667664,0.31412957499229477,15.169557767427502,-0.09651898797847192,-0.0789820431567828,2026-09-17,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de nouveaux produits, de lancements de collections et d'une performance boursiere exceptionnelle, ce qui suggere un ton general positif pour l'action Interface, Inc.",diversified,"L'entreprise vend ses produits à travers plusieurs canaux (directement aux utilisateurs, via des distributeurs indépendants, des installateurs) et dans plusieurs régions du monde, ce qui suggère une base de clients large et diversifiée."
UFCS,"United Fire Group, Inc.",Financial Services,,open,USD,True,2026-09-02,53.869998931884766,0.3580865744511206,16.666666666666668,0.2506995882946805,1.0420524691358024,0.6859505291309069,0.1818403811520965,2026-09-19,54.38999938964844,0.27929118357358673,0.7869460197950975,16.952196487173172,0.009652876704548952,0.0387971077413713,2026-09-14,,,,,,,ollama,positive,"Les actualites presentes montrent une augmentation des actions, des results financiers positifs, des nouveaux investissements et des declarations de dividendes, ce qui suggere un ton general positif pour l'action de United Fire Group, Inc.",diversified,"L'entreprise propose des produits diversifiés pour différents types de clients (petites et grandes entreprises, secteurs tels que la construction, les services, etc.) et vend ses produits via un réseau d'agences indépendantes."
MD,"Pediatrix Medical Group, Inc.",Healthcare,,open,USD,True,2026-09-02,26.229999542236328,0.3677110888267956,8.333333333333334,0.6048799676042786,1.0161943319838058,0.5403835932100602,0.0639756046582669,2026-09-19,25.93000030517578,0.7101390016335523,0.565970121924557,8.299045271692487,-0.011437256663976658,0.0297369691291655,2026-09-14,,,,,,,ollama,positive,"Bien que les actualites mentionnent des points de vue critiques sur Pediatrix Medical Group, le ton general est dominé par des commentaires positifs sur son croissance et ses performances financieres.",concentrated,"Le texte ne fournit aucune information sur la base de clients de Pediatrix Medical Group, Inc., mais indique qu'elle fournit des services à des clients spécifiques, tels que des hôpitaux et des femmes enceintes, ce qui suggère une concentration dans un marché très spécifique."
1802.T,Obayashi Corporation,Industrials,,open,JPY,False,2026-09-02,3006.0,1.0,16.24891266989185,0.6080742113881794,1.0919331395348837,0.3588511609179976,0.121234421411134,2026-09-19,3083.0,0.5591843133031489,0.24701656804300298,17.172617506615428,0.025615435795076413,0.0409181636726547,2026-09-17,,,,,,,ollama,positive,"L'actualité présente plusieurs éléments positifs, tels que la vente de Multiplex à Obayashi pour 650 millions de dollars, une forte performance de 78,64% des actions au cours d'un an, et des projets de développement de nouveaux marchés, ce qui suggère une croissance et une expansion de l'entreprise.",diversified,"L'entreprise engage en construction, développe et gère des propriétés, produit de l'énergie renouvelable, fournit des services techniques et participate à des PPP, ce qui suggère une base de clients large et diversifiée."
7269.T,Suzuki Motor Corporation,Consumer Cyclical,,open,JPY,False,2026-09-02,2122.0,1.0,11.470456648539756,0.2620759704775732,1.1313025210084031,0.0823486997795401,0.002606337303682,2026-09-19,2028.0,0.25565189935658617,0.043738945348802405,11.296162278110959,-0.04429783223374173,-0.0270970782280867,2026-09-14,,,,,,,ollama,positive,"L'actualité présente plusieurs éléments positifs, tels que la croissance des ventes de Pricol Ltd, la présence de Toyota dans le domaine des véhicules autonomes, la croissance de FIEM Industries Ltd et la stratégie de Suzuki pour augmenter sa production en Inde, ce qui suggère un ton général positif",diversified,"L'entreprise propose une large gamme de produits et de services, y compris automobiles, motorcycles, outboard motors, vélos électriques, produits pour la construction, services de location, vente de biens immobiliers, etc., ce qui suggère une base de clients large et diversifiée."
