strategy,asset_class,CAGR,Sharpe,Max_Drawdown,Profit_Factor,Win_Rate,Nb_Trades
Buy & Hold,crypto,0.3231228258332626,0.6357476815772936,-0.8868077460378644,,,0.0
Buy & Hold,equity,0.22065197058582892,0.9116275488836472,-0.36125091493322237,,,0.0
Buy & Hold,forex,0.013360817256041213,0.1862174440193821,-0.2108115329232132,,,0.0
"Donchian Breakout (Turtle 20/10, stop 2xATR)",crypto,0.8089922336063521,1.0402654693332294,-0.5681703251025927,2.5713388091511673,0.4275303643724696,122.0
"Donchian Breakout (Turtle 20/10, stop 2xATR)",equity,0.04951487296288895,0.32856998462840004,-0.35226488517760834,1.3633333702442536,0.39755046933264754,99.0
"Donchian Breakout (Turtle 20/10, stop 2xATR)",forex,-0.013649425501502646,-0.1736973707551094,-0.24452522034712385,0.8610979434557581,0.335074734152325,105.0
Golden Cross (SMA50/SMA200),crypto,0.09272679213226309,0.38453794738786307,-0.8302621657053957,3.8456786726107977,0.45751633986928103,17.5
Golden Cross (SMA50/SMA200),equity,0.06352630390674543,0.39074732470439916,-0.4752620567119249,3.2804098636250982,0.4181818181818182,9.75
Golden Cross (SMA50/SMA200),forex,-0.016705738767188394,-0.17458538894198794,-0.2963518651255978,0.6409626461528686,0.2857142857142857,14.666666666666666
RSI(2) Mean Reversion (Connors),crypto,-0.00046870960977041243,0.06944251859200826,-0.4624182876837441,1.1220837457601176,0.6602070293692827,64.5
RSI(2) Mean Reversion (Connors),equity,0.031642937488651046,0.4396900100059003,-0.16300090087962035,1.5958485600404781,0.7348840978505158,66.75
RSI(2) Mean Reversion (Connors),forex,-0.006227230656865146,-0.1966284341842245,-0.09004401284285939,0.809321299736882,0.6051620629588155,44.333333333333336
